id,subject,description
1,Sugestão de recurso,Gostaria que o sistema permitisse adicionar tags nos tickets.
2,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
3,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Sem pressa, quando puderem."
4,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Aguardo com prioridade, por favor."
5,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
6,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Aguardo com prioridade, por favor."
7,Como exportar relatório,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
8,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. É importante, preciso resolver rápido."
9,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Não consigo trabalhar, preciso de solução imediata."
10,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
11,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve. É só uma dúvida, pode responder com calma."
12,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
13,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Apenas uma sugestão, sem urgência."
14,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
15,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante."
16,Como filtrar dados,Tem como filtrar os registros por data? Onde encontro isso?
17,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Aguardo com prioridade, por favor."
18,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso.
19,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Estou bloqueado por causa disso."
20,Como convidar usuário,Como posso convidar outro usuário para a minha conta?
21,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada. É importante, preciso resolver rápido."
22,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É importante, preciso resolver rápido."
23,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete. Estou bloqueado por causa disso.
24,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Está tudo parado em produção, urgente!"
25,Configurar notificações,Onde configuro para receber notificações por e-mail?
26,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. É importante, preciso resolver rápido."
27,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
28,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
29,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É só uma dúvida, pode responder com calma."
30,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Apenas uma sugestão, sem urgência."
31,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada."
32,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
33,Configurar notificações,"Onde configuro para receber notificações por e-mail? É só uma dúvida, pode responder com calma."
34,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
35,Pedido de nova feature,Poderia adicionar um modo escuro? Seria um recurso muito útil.
36,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? É importante, preciso resolver rápido."
37,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. É só uma dúvida, pode responder com calma."
38,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
39,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. É importante, preciso resolver rápido."
40,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Não consigo trabalhar, preciso de solução imediata."
41,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Não consigo trabalhar, preciso de solução imediata."
42,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Aguardo com prioridade, por favor."
43,Erro na fatura,O valor da fatura está diferente do combinado no plano.
44,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF.
45,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Apenas uma sugestão, sem urgência."
46,Erro na fatura,O valor da fatura está diferente do combinado no plano. Estou bloqueado por causa disso.
47,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Sem pressa, quando puderem."
48,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. É importante, preciso resolver rápido."
49,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. É só uma dúvida, pode responder com calma."
50,Exportação em Excel,"Gostaria que tivesse a opção de exportar em Excel além de PDF. Apenas uma sugestão, sem urgência."
51,Contato do comercial,"Poderiam me passar o contato da equipe comercial? Sem pressa, quando puderem."
52,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É importante, preciso resolver rápido."
53,Personalizar dashboard,"Solicito a possibilidade de personalizar os cards do dashboard. É só uma dúvida, pode responder com calma."
54,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada."
55,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Crítico, resolvam o quanto antes!"
56,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. É importante, preciso resolver rápido."
