id,subject,description
1,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Além disso, poderiam me passar o contato da equipe comercial?"
2,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
3,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Além disso, fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso."
4,Sistema sempre lento,"O sistema está horrível de lneto, muito decepcionado."
5,,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
6,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
7,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
8,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Não consigo trabalhar, preciso de solução imediata."
9,Insatisfeito com cobrança,"Estou decepcionado, cobranca errada e ninguem resolve. Sem pressa, quando pudreem."
10,Boleto não chegou,"O boleto da assinatura nao chegou, preciso pagar o pagamento."
11,Pedido de nova feature,"Poderia adicionar mu modo escuro? Seria um recurso muito útil. Não consigo trabalhar, preciso de solução imediata."
12,Como exportar relatório,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
13,,"PODERIA ADICIONAR UM MODO ESCURO? SERIA UM RECURSO MUITO ÚTIL. É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
14,,FUI COBRADO DUAS VEZES NA FATURA DESTE MÊS NO CARTÃO. SOLICITO O REEMBOLSO. ESTOU BLOQUEADO POR CAUSA DISSO.
15,Como exportar relatório,"Como faço para exportar o relatório mensal em PDF? Onde fica essa opção? É importante, preciso resolver rápido."
16,Personalizar dashboard,"Solicito a possibilidade de personalizar os cards do dashboard. Não consigo trabalhar, preciso de solução imediata."
17,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
18,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. É importante, preciso resolver rápido."
19,Configurar notificações,"Onde cnofiguro para receber notificações por e-mail? Apenas uma sugestão, sem urgência."
20,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete. Estou bloqueado por causa disso.
21,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. É importante, preciso resolver rápido."
22,Contato do comercial,"Poderiam me passar o contato da equipe comercial? É importante, preciso resolver rápido."
23,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Não consigo trabalhar, preciso de solução imediata."
24,Cobrança após cancelamento,Cancelei mês passado mas continuo sendo cobrado na fatura. Estou bloqueado por causa disso.
25,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo?"
26,Reembolso pendente,"Pedi o reembolso semana passada e ainda nao caiu no cartao. Alem disso, estou decepcionado, cobranca errada e ninguem resolve."
27,,"ESQUECI MEU LOGIN, COMO FAÇO PARA RECUPERAR O ACESSO?"
28,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Apenas uma sugestão, sem urgência."
29,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Está tudo parado em produção, urgente!"
30,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
31,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Está tudo parado em produção, urgente!"
32,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
33,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. É só uma dúvida, pode responder com calma."
34,Solicito aumento de limite,Solicito o aumento do limite de usuários da minha ocnta.
35,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. É só uma dúvida, pode responder com calma."
36,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Não consigo trabalhar, preciso de solução imediata."
37,,CANCELEI MÊS PASSADO MAS CONTINUO SENDO COBRADO NA FATURA.
38,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? Apenas uma sugestão, sem urgência."
39,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Além disso, estou muito insatisfeito com o suporte, ninguém resolve nada."
40,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento. Estou bloqueado por causa disso.
41,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Aguardo com prioridade, por favor."
42,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Sem pressa, quando puderem."
43,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
44,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir.
45,,"NÃO CONSIGO LOGAR, DÁ ERRO E A PÁGINA RECARREGA SOZINHA."
46,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Apenas uma sugestão, sem urgência."
47,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. É só uma dúvida, pode responder com calma."
48,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
49,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Sem pressa, quando puderem."
50,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? Está tudo parado em produção, urgente!"
51,Erro na fatura,O valor da fatura está diferente do combinado no plano.
52,Mudança de titularidade,"Preciso transferir a titularidade da conta para outra pessoa. É importante, preciso resolver rápido."
53,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Sem pressa, quando puderem."
54,,"SÓ QUERIA DEIXAR UM ELOGIO, O PRODUTO TEM ME AJUDADO BASTANTE. SEM PRESSA, QUANDO PUDEREM."
55,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve. É importante, preciso resolver rápido."
56,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
57,,O VALOR DA FATURA ESTÁ DIFERENTE DO COMBINADO NO PLANO. ESTOU BLOQUEADO POR CAUSA DISSO.
58,Integração com Slack,Poderiam adicionar integração com o Slack para avisos?
59,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona. Estou bloqueado por causa disso.
